Date and Time, Read Value - kWh (kilowatt hours), Reading quality
13/12/22 00:00, 0, Actual
13/12/22 00:00, 0.013, Actual
13/12/22 00:05, 0, Actual
13/12/22 00:05, 0.011, Actual
13/12/22 00:10, 0, Actual
13/12/22 00:10, 0.01, Actual
13/12/22 00:15, 0, Actual
13/12/22 00:15, 0.009, Actual
13/12/22 00:20, 0, Actual
13/12/22 00:20, 0.01, Actual
13/12/22 00:25, 0, Actual
13/12/22 00:25, 0.011, Actual
13/12/22 00:30, 0, Actual
13/12/22 00:30, 0.013, Actual
13/12/22 00:35, 0, Actual
13/12/22 00:35, 0.012, Actual
13/12/22 00:40, 0, Actual
13/12/22 00:40, 0.011, Actual
13/12/22 00:45, 0, Actual
13/12/22 00:45, 0.009, Actual
13/12/22 00:50, 0, Actual
13/12/22 00:50, 0.01, Actual
13/12/22 00:55, 0, Actual
13/12/22 00:55, 0.009, Actual
13/12/22 01:00, 0, Actual
13/12/22 01:00, 0.013, Actual
13/12/22 01:05, 0, Actual
13/12/22 01:05, 0.012, Actual
13/12/22 01:10, 0, Actual
13/12/22 01:10, 0.013, Actual
13/12/22 01:15, 0, Actual
13/12/22 01:15, 0.01, Actual
13/12/22 01:20, 0, Actual
13/12/22 01:20, 0.009, Actual
13/12/22 01:25, 0, Actual
13/12/22 01:25, 0.009, Actual
13/12/22 01:30, 0, Actual
13/12/22 01:30, 0.011, Actual
13/12/22 01:35, 0, Actual
13/12/22 01:35, 0.012, Actual
13/12/22 01:40, 0, Actual
13/12/22 01:40, 0.013, Actual
13/12/22 01:45, 0, Actual
13/12/22 01:45, 0.011, Actual
13/12/22 01:50, 0, Actual
13/12/22 01:50, 0.01, Actual
13/12/22 01:55, 0, Actual
13/12/22 01:55, 0.009, Actual
13/12/22 02:00, 0, Actual
13/12/22 02:00, 0.01, Actual
13/12/22 02:05, 0, Actual
13/12/22 02:05, 0.012, Actual
13/12/22 02:10, 0, Actual
13/12/22 02:10, 0.012, Actual
13/12/22 02:15, 0, Actual
13/12/22 02:15, 0.013, Actual
13/12/22 02:20, 0, Actual
13/12/22 02:20, 0.01, Actual
13/12/22 02:25, 0, Actual
13/12/22 02:25, 0.01, Actual
13/12/22 02:30, 0, Actual
13/12/22 02:30, 0.009, Actual
13/12/22 02:35, 0, Actual
13/12/22 02:35, 0.01, Actual
13/12/22 02:40, 0, Actual
13/12/22 02:40, 0.012, Actual
13/12/22 02:45, 0, Actual
13/12/22 02:45, 0.013, Actual
13/12/22 02:50, 0, Actual
13/12/22 02:50, 0.012, Actual
13/12/22 02:55, 0, Actual
13/12/22 02:55, 0.01, Actual
13/12/22 03:00, 0, Actual
13/12/22 03:00, 0.009, Actual
13/12/22 03:05, 0, Actual
13/12/22 03:05, 0.01, Actual
13/12/22 03:10, 0, Actual
13/12/22 03:10, 0.011, Actual
13/12/22 03:15, 0, Actual
13/12/22 03:15, 0.012, Actual
13/12/22 03:20, 0, Actual
13/12/22 03:20, 0.013, Actual
13/12/22 03:25, 0, Actual
13/12/22 03:25, 0.011, Actual
13/12/22 03:30, 0, Actual
13/12/22 03:30, 0.009, Actual
13/12/22 03:35, 0, Actual
13/12/22 03:35, 0.01, Actual
13/12/22 03:40, 0, Actual
13/12/22 03:40, 0.009, Actual
13/12/22 03:45, 0, Actual
13/12/22 03:45, 0.012, Actual
13/12/22 03:50, 0, Actual
13/12/22 03:50, 0.013, Actual
13/12/22 03:55, 0, Actual
13/12/22 03:55, 0.012, Actual
13/12/22 04:00, 0, Actual
13/12/22 04:00, 0.01, Actual
13/12/22 04:05, 0, Actual
13/12/22 04:05, 0.01, Actual
13/12/22 04:10, 0, Actual
13/12/22 04:10, 0.009, Actual
13/12/22 04:15, 0, Actual
13/12/22 04:15, 0.01, Actual
13/12/22 04:20, 0, Actual
13/12/22 04:20, 0.012, Actual
13/12/22 04:25, 0, Actual
13/12/22 04:25, 0.012, Actual
13/12/22 04:30, 0, Actual
13/12/22 04:30, 0.011, Actual
13/12/22 04:35, 0, Actual
13/12/22 04:35, 0.009, Actual
13/12/22 04:40, 0, Actual
13/12/22 04:40, 0.009, Actual
13/12/22 04:45, 0, Actual
13/12/22 04:45, 0.009, Actual
13/12/22 04:50, 0, Actual
13/12/22 04:50, 0.009, Actual
13/12/22 04:55, 0, Actual
13/12/22 04:55, 0.012, Actual
13/12/22 05:00, 0, Actual
13/12/22 05:00, 0.013, Actual
13/12/22 05:05, 0, Actual
13/12/22 05:05, 0.01, Actual
13/12/22 05:10, 0, Actual
13/12/22 05:10, 0.009, Actual
13/12/22 05:15, 0, Actual
13/12/22 05:15, 0.009, Actual
13/12/22 05:20, 0, Actual
13/12/22 05:20, 0.009, Actual
13/12/22 05:25, 0, Actual
13/12/22 05:25, 0.01, Actual
13/12/22 05:30, 0, Actual
13/12/22 05:30, 0.013, Actual
13/12/22 05:35, 0, Actual
13/12/22 05:35, 0.012, Actual
13/12/22 05:40, 0, Actual
13/12/22 05:40, 0.01, Actual
13/12/22 05:45, 0, Actual
13/12/22 05:45, 0.009, Actual
13/12/22 05:50, 0, Actual
13/12/22 05:50, 0.009, Actual
13/12/22 05:55, 0, Actual
13/12/22 05:55, 0.009, Actual
13/12/22 06:00, 0, Actual
13/12/22 06:00, 0.01, Actual
13/12/22 06:05, 0, Actual
13/12/22 06:05, 0.013, Actual
13/12/22 06:10, 0, Actual
13/12/22 06:10, 0.012, Actual
13/12/22 06:15, 0, Actual
13/12/22 06:15, 0.01, Actual
13/12/22 06:20, 0, Actual
13/12/22 06:20, 0.009, Actual
13/12/22 06:25, 0, Actual
13/12/22 06:25, 0.008, Actual
13/12/22 06:30, 0, Actual
13/12/22 06:30, 0.009, Actual
13/12/22 06:35, 0, Actual
13/12/22 06:35, 0.011, Actual
13/12/22 06:40, 0, Actual
13/12/22 06:40, 0.013, Actual
13/12/22 06:45, 0, Actual
13/12/22 06:45, 0.012, Actual
13/12/22 06:50, 0, Actual
13/12/22 06:50, 0.009, Actual
13/12/22 06:55, 0, Actual
13/12/22 06:55, 0.009, Actual
13/12/22 07:00, 0, Actual
13/12/22 07:00, 0.009, Actual
13/12/22 07:05, 0, Actual
13/12/22 07:05, 0.009, Actual
13/12/22 07:10, 0, Actual
13/12/22 07:10, 0.011, Actual
13/12/22 07:15, 0, Actual
13/12/22 07:15, 0.013, Actual
13/12/22 07:20, 0, Actual
13/12/22 07:20, 0.012, Actual
13/12/22 07:25, 0, Actual
13/12/22 07:25, 0.009, Actual
13/12/22 07:30, 0, Actual
13/12/22 07:30, 0.009, Actual
13/12/22 07:35, 0, Actual
13/12/22 07:35, 0.009, Actual
13/12/22 07:40, 0, Actual
13/12/22 07:40, 0.009, Actual
13/12/22 07:45, 0, Actual
13/12/22 07:45, 0.012, Actual
13/12/22 07:50, 0, Actual
13/12/22 07:50, 0.012, Actual
13/12/22 07:55, 0, Actual
13/12/22 07:55, 0.012, Actual
13/12/22 08:00, 0, Actual
13/12/22 08:00, 0.009, Actual
13/12/22 08:05, 0, Actual
13/12/22 08:05, 0.009, Actual
13/12/22 08:10, 0, Actual
13/12/22 08:10, 0.009, Actual
13/12/22 08:15, 0, Actual
13/12/22 08:15, 0.009, Actual
13/12/22 08:20, 0, Actual
13/12/22 08:20, 0.012, Actual
13/12/22 08:25, 0, Actual
13/12/22 08:25, 0.012, Actual
13/12/22 08:30, 0, Actual
13/12/22 08:30, 0.011, Actual
13/12/22 08:35, 0, Actual
13/12/22 08:35, 0.009, Actual
13/12/22 08:40, 0, Actual
13/12/22 08:40, 0.009, Actual
13/12/22 08:45, 0, Actual
13/12/22 08:45, 0.009, Actual
13/12/22 08:50, 0, Actual
13/12/22 08:50, 0.01, Actual
13/12/22 08:55, 0, Actual
13/12/22 08:55, 0.012, Actual
13/12/22 09:00, 0, Actual
13/12/22 09:00, 0.012, Actual
13/12/22 09:05, 0, Actual
13/12/22 09:05, 0.011, Actual
13/12/22 09:10, 0, Actual
