Date and Time, Read Value - kWh (kilowatt hours), Reading quality
03/01/22 00:00, 0, Actual
03/01/22 00:00, 0.119, Actual
03/01/22 00:30, 0, Actual
03/01/22 00:30, 0.109, Actual
03/01/22 01:00, 0, Actual
03/01/22 01:00, 0.107, Actual
03/01/22 01:30, 0, Actual
03/01/22 01:30, 0.116, Actual
03/01/22 02:00, 0, Actual
03/01/22 02:00, 0.11, Actual
03/01/22 02:30, 0.54, Actual
03/01/22 02:30, 0.107, Actual
03/01/22 03:00, 0, Actual
03/01/22 03:00, 0.114, Actual
03/01/22 03:30, 0, Actual
03/01/22 03:30, 0.112, Actual
03/01/22 04:00, 0, Actual
03/01/22 04:00, 0.106, Actual
03/01/22 04:30, 0, Actual
03/01/22 04:30, 0.108, Actual
03/01/22 05:00, 0, Actual
03/01/22 05:00, 0.109, Actual
03/01/22 05:30, 0, Actual
03/01/22 05:30, 0.106, Actual
03/01/22 06:00, 0, Actual
03/01/22 06:00, 0.118, Actual
03/01/22 06:30, 0, Actual
03/01/22 06:30, 0.119, Actual
03/01/22 07:00, 0, Actual
03/01/22 07:00, 0.113, Actual
03/01/22 07:30, 0, Actual
03/01/22 07:30, 0.11, Actual
03/01/22 08:00, 0.632, Actual
03/01/22 08:00, 0.128, Actual
03/01/22 08:30, 0, Actual
03/01/22 08:30, 0.219, Actual
03/01/22 09:00, 0, Actual
03/01/22 09:00, 0.26, Actual
03/01/22 09:30, 0.601, Actual
03/01/22 09:30, 0.343, Actual
03/01/22 10:00, 0.813, Actual
03/01/22 10:00, 0.351, Actual
03/01/22 10:30, 0, Actual
03/01/22 10:30, 0.382, Actual
03/01/22 11:00, 0, Actual
03/01/22 11:00, 0.388, Actual
03/01/22 11:30, 0, Actual
03/01/22 11:30, 0.612, Actual
03/01/22 12:00, 0, Actual
03/01/22 12:00, 0.497, Actual
03/01/22 12:30, 0, Actual
03/01/22 12:30, 0.525, Actual
03/01/22 13:00, 0, Actual
03/01/22 13:00, 0.625, Actual
03/01/22 13:30, 0, Actual
03/01/22 13:30, 0.56, Actual
03/01/22 14:00, 0, Actual
03/01/22 14:00, 0.686, Actual
03/01/22 14:30, 0.353, Actual
03/01/22 14:30, 0.934, Actual
03/01/22 15:00, 0.192, Actual
03/01/22 15:00, 0.836, Actual
03/01/22 15:30, 0, Actual
03/01/22 15:30, 0.439, Actual
03/01/22 16:00, 0, Actual
03/01/22 16:00, 0.794, Actual
03/01/22 16:30, 0.551, Actual
03/01/22 16:30, 0.735, Actual
03/01/22 17:00, 0, Actual
03/01/22 17:00, 0.471, Actual
03/01/22 17:30, 0, Actual
03/01/22 17:30, 0.566, Actual
03/01/22 18:00, 0, Actual
03/01/22 18:00, 0.451, Actual
03/01/22 18:30, 0, Actual
03/01/22 18:30, 0.519, Actual
03/01/22 19:00, 0, Actual
03/01/22 19:00, 0.525, Actual
03/01/22 19:30, 0, Actual
03/01/22 19:30, 0.346, Actual
03/01/22 20:00, 0, Actual
03/01/22 20:00, 0.328, Actual
03/01/22 20:30, 0, Actual
03/01/22 20:30, 0.288, Actual
03/01/22 21:00, 0, Actual
03/01/22 21:00, 0.3, Actual
03/01/22 21:30, 0, Actual
03/01/22 21:30, 0.266, Actual
03/01/22 22:00, 0, Actual
03/01/22 22:00, 0.249, Actual
03/01/22 22:30, 0.536, Actual
03/01/22 22:30, 0.132, Actual
03/01/22 23:00, 0, Actual
03/01/22 23:00, 0.118, Actual
03/01/22 23:30, 0, Actual
03/01/22 23:30, 0.15, Actual
04/01/22 00:00, 0, Actual
04/01/22 00:00, 0.157, Actual
04/01/22 00:30, 0, Actual
04/01/22 00:30, 0.129, Actual
04/01/22 01:00, 0, Actual
04/01/22 01:00, 0.114, Actual
04/01/22 01:30, 0, Actual
04/01/22 01:30, 0.124, Actual
04/01/22 02:00, 0, Actual
04/01/22 02:00, 0.116, Actual
04/01/22 02:30, 0, Actual
04/01/22 02:30, 0.109, Actual
04/01/22 03:00, 0, Actual
04/01/22 03:00, 0.116, Actual
04/01/22 03:30, 0, Actual
04/01/22 03:30, 0.113, Actual
04/01/22 04:00, 0, Actual
04/01/22 04:00, 0.107, Actual
04/01/22 04:30, 0, Actual
04/01/22 04:30, 0.107, Actual
04/01/22 05:00, 0, Actual
04/01/22 05:00, 0.11, Actual
04/01/22 05:30, 0, Actual
04/01/22 05:30, 0.113, Actual
04/01/22 06:00, 0, Actual
04/01/22 06:00, 0.115, Actual
04/01/22 06:30, 0, Actual
04/01/22 06:30, 0.121, Actual
04/01/22 07:00, 0, Actual
04/01/22 07:00, 0.175, Actual
04/01/22 07:30, 0, Actual
04/01/22 07:30, 0.157, Actual
04/01/22 08:00, 0, Actual
04/01/22 08:00, 0.114, Actual
04/01/22 08:30, 0, Actual
04/01/22 08:30, 0.211, Actual
04/01/22 09:00, 1.359, Actual
04/01/22 09:00, 0.285, Actual
04/01/22 09:30, 1.142, Actual
04/01/22 09:30, 0.307, Actual
04/01/22 10:00, 0, Actual
04/01/22 10:00, 0.383, Actual
04/01/22 10:30, 0.599, Actual
04/01/22 10:30, 0.38, Actual
04/01/22 11:00, 0.424, Actual
04/01/22 11:00, 0.382, Actual
04/01/22 11:30, 1.364, Actual
04/01/22 11:30, 0.396, Actual
04/01/22 12:00, 0.664, Actual
04/01/22 12:00, 0.844, Actual
04/01/22 12:30, 0.216, Actual
04/01/22 12:30, 0.41, Actual
04/01/22 13:00, 0, Actual
04/01/22 13:00, 0.442, Actual
04/01/22 13:30, 0, Actual
04/01/22 13:30, 0.949, Actual
04/01/22 14:00, 0, Actual
04/01/22 14:00, 0.607, Actual
04/01/22 14:30, 0, Actual
04/01/22 14:30, 0.783, Actual
04/01/22 15:00, 0, Actual
04/01/22 15:00, 1.033, Actual
04/01/22 15:30, 0, Actual
04/01/22 15:30, 0.899, Actual
04/01/22 16:00, 0.366, Actual
04/01/22 16:00, 1.097, Actual
04/01/22 16:30, 0.196, Actual
04/01/22 16:30, 0.718, Actual
04/01/22 17:00, 0, Actual
04/01/22 17:00, 0.743, Actual
04/01/22 17:30, 0, Actual
04/01/22 17:30, 0.765, Actual
04/01/22 18:00, 0, Actual
04/01/22 18:00, 0.61, Actual
04/01/22 18:30, 0, Actual
04/01/22 18:30, 0.826, Actual
04/01/22 19:00, 0, Actual
04/01/22 19:00, 0.517, Actual
